City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Georgetown,MY,2022-12-27 03:45:35,5.4112,100.3354,84.13,74,20,9.22
67,East London,ZA,2022-12-27 03:45:57,-33.0153,27.9116,61.74,94,0,8.05
68,Hobart,AU,2022-12-27 03:45:57,-42.8794,147.3294,92.23,56,0,8.05
69,Tongchuan,CN,2022-12-27 03:45:58,35.0806,109.0897,34.29,20,83,6.91
70,Sitka,US,2022-12-27 03:45:58,57.0531,-135.33,42.69,87,100,4.61
71,Ketchikan,US,2022-12-27 03:45:59,55.3422,-131.6461,43.27,93,100,12.66
72,Krasnogorskoye,RU,2022-12-27 03:45:59,52.2953,86.1979,2.32,97,64,2.71
73,Lata,PT,2022-12-27 03:46:00,40.1629,-8.3327,50.14,94,2,3.13
74,Big Spring,US,2022-12-27 03:46:00,32.2504,-101.4787,46.24,44,0,6.91
75,Poggibonsi,IT,2022-12-27 03:46:01,43.4724,11.1456,55.94,100,25,6.44
76,Sao Joao Da Barra,BR,2022-12-27 03:46:02,-21.6403,-41.0511,74.43,89,100,16.62
77,Berlevag,NO,2022-12-27 03:46:02,70.8578,29.0864,30.15,80,40,4.61
78,Celestun,MX,2022-12-27 03:46:03,20.8667,-90.4,70.93,69,72,9.48
79,Cape Town,ZA,2022-12-27 03:44:07,-33.9258,18.4232,67.37,77,20,2.3
80,Mount Isa,AU,2022-12-27 03:46:03,-20.7333,139.5,74.97,100,75,6.91
81,Bonfim,BR,2022-12-27 03:46:04,3.0833,-59.95,75.87,81,77,8.88
82,Aklavik,CA,2022-12-27 03:46:04,68.2191,-135.0107,-19.89,99,100,10.09
83,Swan Hill,AU,2022-12-27 03:46:05,-35.3378,143.5544,102.09,15,40,9.8
84,Uglegorsk,RU,2022-12-27 03:46:05,49.0833,142.0333,20.17,88,99,5.37
85,Hithadhoo,MV,2022-12-27 03:46:06,-0.6,73.0833,81.19,76,71,15.86
86,Southampton,GB,2022-12-27 03:46:06,50.904,-1.4043,42.85,95,57,7.27
87,Hami,CN,2022-12-27 03:46:07,42.8,93.45,21.96,41,0,2.08
88,Aguimes,ES,2022-12-27 03:46:07,27.9054,-15.4461,68.63,53,0,21.85
89,Kharian,PK,2022-12-27 03:46:08,32.8149,73.8636,55.54,24,9,6.87
90,Saldanha,ZA,2022-12-27 03:46:08,-33.0117,17.9442,53.65,89,0,10.69
91,Blagoveshchenka,RU,2022-12-27 03:46:09,52.8333,79.8667,1.92,87,42,5.41
92,Atasu,KZ,2022-12-27 03:46:09,48.6814,71.6433,4.1,96,18,3.67
93,Point Pleasant,US,2022-12-27 03:46:10,40.0832,-74.0682,28.02,63,40,5.75
94,Dongsheng,CN,2022-12-27 03:46:10,39.8161,109.9776,10.26,40,0,16.46
95,Airai,TL,2022-12-27 03:46:11,-8.9266,125.4092,69.89,73,100,3.74
