City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Puerto Ayora,EC,-0.7393,-90.3518,72.55,94,91,3.0,overcast clouds
79,Atambua,ID,-9.1061,124.8925,75.54,89,99,6.53,overcast clouds
80,Kieta,PG,-6.2167,155.6333,84.15,65,41,9.71,scattered clouds
81,Bambous Virieux,MU,-20.3428,57.7575,83.21,65,40,12.66,scattered clouds
82,Lensk,RU,60.7253,114.9278,7.65,91,100,10.38,overcast clouds
83,Perpignan,FR,42.75,2.75,44.24,93,75,2.3,broken clouds
84,Arraial Do Cabo,BR,-22.9661,-42.0278,74.23,92,99,18.68,overcast clouds
85,Andenes,NO,69.3143,16.1194,31.98,74,75,23.02,snow
86,Yambio,SS,4.5721,28.3955,71.65,28,87,6.06,overcast clouds
87,Gorontalo,ID,0.5412,123.0595,87.64,61,100,3.56,overcast clouds
88,Hay River,CA,60.8156,-115.7999,3.18,85,100,2.3,light snow
89,Saint-Joseph,RE,-21.3667,55.6167,84.58,70,23,9.66,few clouds
90,Atuona,PF,-9.8,-139.0333,78.01,76,52,12.91,broken clouds
91,Buala,SB,-8.145,159.5921,82.81,77,100,7.05,light rain
92,Sao Filipe,CV,14.8961,-24.4956,70.0,57,28,7.31,scattered clouds
93,Sneek,NL,53.033,5.6589,46.94,96,100,20.0,overcast clouds
94,Nome,US,64.5011,-165.4064,7.16,78,100,9.22,light snow
95,Mayumba,GA,-3.432,10.6554,77.74,87,36,4.99,moderate rain
96,Constitucion,CL,-35.3333,-72.4167,58.05,68,3,7.47,clear sky
97,Yellowknife,CA,62.456,-114.3525,1.92,85,100,9.22,light snow
98,Jacqueville,CI,5.2052,-4.4146,78.53,78,19,5.21,few clouds
99,Garowe,SO,8.4054,48.4845,72.63,58,48,9.73,scattered clouds
100,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,8.05,overcast clouds
101,Hyeres,FR,43.1167,6.1167,52.68,84,0,3.44,clear sky
102,Harper,LR,4.375,-7.7169,76.44,84,19,5.5,few clouds
103,Rawson,AR,-43.3002,-65.1023,58.73,60,3,10.65,clear sky
104,Aklavik,CA,68.2191,-135.0107,-26.73,99,100,4.59,overcast clouds
105,Tonantins,BR,-2.8731,-67.8022,71.92,99,88,1.77,overcast clouds
106,Inirida,CO,3.8653,-67.9239,73.09,88,79,2.33,broken clouds
107,Trairi,BR,-3.2778,-39.2689,78.87,74,97,12.46,overcast clouds
108,Hilo,US,19.7297,-155.09,71.62,83,75,5.75,broken clouds
109,Opuwo,NA,-18.0607,13.84,73.38,31,51,1.12,broken clouds
110,Ponta Do Sol,PT,32.6667,-17.1,65.12,20,12,6.89,few clouds
111,Airai,TL,-8.9266,125.4092,63.45,93,100,3.87,overcast clouds
112,Hermanus,ZA,-34.4187,19.2345,68.81,75,67,6.64,broken clouds
113,Saint George,US,37.1041,-113.5841,47.95,91,100,4.61,overcast clouds
114,Barrow,US,71.2906,-156.7887,-7.58,71,0,18.41,clear sky
115,Namibe,AO,-15.1961,12.1522,70.23,73,46,3.18,scattered clouds
116,Iwanai,JP,42.9744,140.5089,34.27,81,99,10.02,light snow
117,Flinders,AU,-34.5833,150.8552,83.25,65,0,5.99,clear sky
118,Risor,NO,58.7206,9.2342,33.01,96,100,16.4,light snow
